rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
275,1.241918,0.42944336,0.0,0.0
276,1.2243537,0.0,1.0740775,5.744385
277,1.1834629,0.414917,0.0,0.0
278,1.1328684,0.10736084,0.0,0.0
279,1.1068738,0.0,0.0,0.0
280,1.077784,0.0,0.12685457,1.7807007
281,1.0482272,0.0,0.0,0.0
282,1.0345007,1.0220947,0.003495794,4.8582764
283,1.0030898,0.42681885,0.05437074,3.510704
284,0.9565928,0.0,0.0,0.0
285,0.90530145,0.0,0.0,0.0
286,0.89684,0.10412598,0.0,0.0
287,0.8293456,0.10614014,0.0,0.086135864
288,0.8175225,0.47869873,0.31028563,6.058655
289,0.7433827,0.0,0.026679019,2.894699
290,0.7137593,0.0,0.0,0.0
291,0.6469953,0.47631836,0.053895224,4.8701935
292,0.591034,0.42919922,0.0033827238,2.7056122
293,0.5208757,0.0,0.0,0.0
294,0.45322946,0.4293518,0.016119499,4.272812
295,0.28221792,0.10986328,0.0,0.0
296,0.27148253,0.0,1.244759E-5,1.9184113
297,0.22599983,0.10546875,0.0,0.0
298,0.21609882,0.0,0.15281013,8.120728
299,0.20590232,0.17475891,0.0014817504,5.0968323
300,0.011174334,0.0,0.004852189,1.7749939
