Actual Flu Population,Estimated Flu Population
2.5,4.110407
2.25,4.231174
2.75,2.7226946
2.0,2.895618
2.5,3.4536283
2.5,3.9889522
2.25,3.3238974
3.7500002,4.5335793
1.5,5.894214
2.0,5.3505387
3.0,4.608774
1.5,2.713072
3.7500002,3.3411133
3.7500002,7.07588
1.5,2.3359895
1.75,4.355216
2.75,3.4841182
2.0,2.8051736
2.0,3.6765862
2.0,5.6140738
2.25,3.6967688
2.0,3.7679136
2.5,3.7963328
1.75,3.675423
2.25,3.273307
2.25,4.489774
2.0,4.273816
3.25,4.8497787
1.25,3.9592118
1.75,5.263748
2.75,3.386185
1.25,3.5231102
3.5,4.9178486
3.5,5.7724857
1.25,3.5306034
1.5,2.623552
2.5,3.0527954
1.75,4.8980327
1.75,2.868688
1.75,3.929565
2.0,2.451418
1.75,3.3880205
2.25,4.4073644
1.5,3.4874034
2.0,2.9157193
2.0,3.6408284
1.75,3.5080795
3.0,4.413938
1.0,2.9204001
1.5,4.9247303
2.25,2.800264
1.0,5.2338133
3.25,3.9257145
3.0,3.5879064
1.0,2.9659915
1.25,2.4827936
2.25,2.9774408
1.5,2.942297
1.5,2.9563754
1.5,4.416473
1.75,3.7063935
1.5,2.899135
2.0,2.8092651
1.25,4.305772
1.75,4.3442674
1.75,5.7123656
1.5,4.0967703
2.75,3.9367115
0.75,3.5545657
1.25,3.5566313
2.0,4.7185154
0.75,3.4885454
3.0,2.7196164
2.75,5.177194
0.75,2.8999708
1.25,3.1834798
2.0,4.360134
1.5,4.4944105
1.5,4.2064962
1.25,3.8253388
1.5,2.3439264
1.5,3.874377
1.75,3.9150438
1.0,3.7811923
1.5,3.562361
1.5,3.7458494
1.25,3.955239
2.5,3.6091034
0.75,4.251807
1.0,2.8160377
1.75,5.9517884
0.75,2.9372525
2.75,4.677932
2.5,3.7032485
